Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Problem A","Quartz Face Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471814/problem-a,1.0,-1,Boulder,V0,1,8,33.8133,-116.65132
"Quartz Face","Quartz Face Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471807/quartz-face,2.0,-1,Boulder,V0+,1,10,33.8133,-116.65132
"Razor's Edge","Quartz Face Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471823/razors-edge,2.0,-1,Boulder,V3+,1,8,33.8133,-116.65132
"Offwidth Outlaw","Split Rock > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471837/offwidth-outlaw,1.0,-1,Boulder,V1,1,20,33.8133,-116.65132
"Handle over Heel","Grand Traverse > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110651593/handle-over-heel,3.0,-1,Boulder,V4,1,15,33.8133,-116.65132
"Mast scale","The Destroyer > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110651691/mast-scale,2.0,-1,Boulder,V1,1,18,33.8133,-116.65132
"Two Cones Hung Low","The Destroyer > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110651681/two-cones-hung-low,2.0,-1,Boulder,V1+,1,20,33.8133,-116.65132
Patinias,"Patina Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110653511/patinias,2.0,-1,Boulder,V1,1,12,33.81301,-116.65301
"Parlor Tricks","Patina Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110657351/parlor-tricks,1.0,-1,Boulder,V1+,1,10,33.81301,-116.65301
"Donkey Show","Donkey boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112115876/donkey-show,2.0,-1,Boulder,V2-,1,10,33.82224,-116.64142
"Pancake House","Pancake House > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108229680/pancake-house,2.8,-1,Boulder,V5,1,7,33.81887,-116.65013
I-Flop,"Pancake House > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108229705/i-flop,2.5,-1,Boulder,V6,1,7,33.81887,-116.65013
"Ceramic Salamander","Salamander Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108405138/ceramic-salamander,3.2,-1,Boulder,V4,1,12,33.81899,-116.65024
"Porcelain Salamander","Salamander Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108405124/porcelain-salamander,3.5,-1,Boulder,"V7 PG13",1,15,33.81899,-116.65024
"Pit Boss","Pit Boss Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108532671/pit-boss,2.3,-1,Boulder,V7,1,10,33.81905,-116.64946
"Arabian Battle Trill","Arabian Battle Trill Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113264483/arabian-battle-trill,1.0,-1,Boulder,V5,1,12,33.81889,-116.65015
"Rubix Cube","Medusa Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117342940/rubix-cube,2.0,-1,Boulder,V3,1,16,33.81837,-116.65055
Medusa,"Medusa Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/115405855/medusa,2.0,-1,Boulder,V6,1,12,33.81837,-116.65055
Pain,"Cracked Boulder > The Edge of Nowhere > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117602136/pain,2.0,-1,Boulder,V2-3,1,18,33.81807,-116.64979
