,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Sub-Area,Area,Mountain Region,Mountain,State,Area Latitude,Area Longitude
365,2.0,The Patriot,Boulder,V2,1,12.0,,Roof Jugs,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81626,-116.64759
366,3.3,Tomahawk,Boulder,V5+,1,12.0,,Roof Jugs,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81626,-116.64759
367,2.5,Problem A,Boulder,V0,1,20.0,,Quartz Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81759,-116.64934
368,3.8,Emerald City,Boulder,V0 PG13,1,20.0,,The East Rim,,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81759,-116.64934
369,2.5,Problem B,Boulder,V1 R,1,13.0,,The East Rim,,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81759,-116.64934
370,3.6,Tri-Nitro-Toulumne,Boulder,V3 PG13,1,20.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81759,-116.64934
371,4.0,House of Pain,Boulder,V6,1,20.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81759,-116.64934
372,2.0,Ruby Slippers,Boulder,V0+,1,10.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
373,2.0,Problem A,Boulder,V3+,1,9.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
374,1.0,Toto or Dorothy?,Boulder,V3,1,15.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
375,1.0,Problem A,Boulder,V-easy,1,12.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
376,2.0,Old's Cool,Boulder,V-easy,1,12.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
377,2.0,Problem B,Boulder,V0,1,11.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
378,1.5,Problem C,Boulder,V-easy,1,10.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
379,1.0,Cracked Egg,Boulder,V0- PG13,1,13.0,,The All Day Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
380,2.0,Problem B,Boulder,V0,1,8.0,,Game of Death Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
381,2.0,Problem A,Boulder,V1,1,8.0,,Game of Death Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
382,3.0,Cracked Patina,Boulder,V1 PG13,1,13.0,,Game of Death Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
383,2.0,Problem A Sit Start,Boulder,V3,1,8.0,,Game of Death Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
384,3.4,Only The Good Die Young,Boulder,V6,1,14.0,,Roll the Bones Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.818000000000005,-116.64916000000001
385,3.0,Roof Jugs,Boulder,V2,1,20.0,,Roll the Bones Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81779,-116.64913999999999
386,2.8,Roof Jugs Variation,Boulder,V3,1,16.0,,Roll the Bones Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81779,-116.64913999999999
387,2.0,But of Quartz,Boulder,V2,1,12.0,,Mortal Kombat Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81757,-116.64966000000001
388,3.0,Envy,Boulder,V5,1,12.0,,Mortal Kombat Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81518,-116.64567
389,3.3,The Barefoot Sharma Arete,Boulder,V8,1,10.0,,Fists of Fury Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81518,-116.64567
390,1.0,Kung Fu Panda,Boulder,V-easy,1,10.0,,Enter the Dragon Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
391,1.0,Problem A,Boulder,V0,1,8.0,,Enter the Dragon Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
392,1.5,Wu Tang Clan,Boulder,V0,1,15.0,,Enter the Dragon Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
393,2.0,Jet Li,Boulder,V0 R,1,8.0,,Warm Up boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
394,1.8,Chai Tea,Boulder,V1+,1,15.0,,House Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
395,1.4,Thai Chi,Boulder,V2,1,15.0,,Butt Dragon Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
396,1.7,Kung Fu Grip,Boulder,V3+,1,15.0,,Butt Dragon Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
397,2.0,Don's Overhang,Boulder,V4,1,12.0,,Butt Dragon Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
398,2.2,The One,Boulder,V6,1,8.0,,Flying Guillotine Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
399,2.5,Paper Dragon,Boulder,V10,1,8.0,,Flying Guillotine Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64831000000001
400,-1.0,Le Mantel,Boulder,V1,1,9.0,,Flying Guillotine Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81175,-116.6484
401,1.5,Raspoutine,Boulder,V2,1,10.0,,Don's Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81175,-116.6484
402,2.9,Game of Death,Boulder,V4,1,15.0,,Don's Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81175,-116.6484
403,1.0,A Kingdom in a Princess,Boulder,V6,1,8.0,,Don's Boulder,,Kung Fu Canyon,The Tramway,San Jacinto Mountains,California,33.81175,-116.6484
404,1.5,Snake Eyes Direct,Boulder,V2,1,6.0,,Tooth Fairy Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.8129,-116.6492
405,2.1,Snake Eyes,Boulder,V4,1,9.0,,Tooth Fairy Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.8129,-116.6492
406,2.0,Roll the Bones,Boulder,V6,1,8.0,,Tooth Fairy Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.8129,-116.6492
407,1.7,Rumble in the Bronx,Boulder,V1,1,8.0,,iMac Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81261,-116.64912
409,2.0,Mortal Kombat,Boulder,V5,1,10.0,,Tetrys Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81261,-116.64912
411,2.5,Fists of Fury,Boulder,V7-8,1,8.0,,Shoe Slab,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81244,-116.64926000000001
412,1.0,Exit the Tiger,Boulder,V2,1,7.0,,Shoe Slab,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81266,-116.64916000000001
413,-1.0,Unnamed V4,Boulder,V4,1,7.0,,Year of the Cat Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81266,-116.64916000000001
414,2.0,Enter the Dragon,Boulder,V5,1,7.0,,Year of the Cat Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81266,-116.64916000000001
415,1.0,Unknown (Chuck Norris),Boulder,V0-1,1,10.0,,Matt Hotch Boulder,,Year of the Cat Gully,The Tramway,San Jacinto Mountains,California,33.81231,-116.64888
417,2.5,House Kung Fu,Boulder,V5-6,1,12.0,,Greasefire Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81167,-116.64828999999999
418,2.0,Unnamed,Boulder,V0,1,10.0,,Greasefire Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81207,-116.64888
419,2.0,Unnamed Traverse,Boulder,V1,1,7.0,,Greasefire Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81207,-116.64888
420,2.0,Butt Dragon Traverse,Boulder,V3,1,10.0,,Greasefire Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81207,-116.64888
421,2.0,False Guillotine,Boulder,V3,1,8.0,,Greasefire Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81207,-116.64853000000001
422,1.0,Unnamed,Boulder,V4,1,8.0,,Greasefire Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81207,-116.64853000000001
423,2.0,Flying Guillotine,Boulder,V6+,1,8.0,,Yo Picasso (aka Sunshine Daydream) Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81207,-116.64853000000001
424,1.0,Unnamed,Boulder,V-easy,1,10.0,,Velvet Fog boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81195,-116.64778000000001
425,2.0,Unnamed,Boulder,V1,1,10.0,,Velvet Fog boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81195,-116.64778000000001
426,3.0,Don's Throw,Boulder,V6,1,10.0,,Velvet Fog boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81195,-116.64778000000001
427,1.0,Tooth or Dare,Boulder,V-easy,1,15.0,,Kinesthesia,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81422,-116.65105
428,1.0,Tooth Hurty,Boulder,V-easy,1,12.0,,The Mobius,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81422,-116.65105
429,2.6,Tooth Fairy,Boulder,V5-6,1,12.0,,Duke Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.81422,-116.65105
430,3.0,iMac,Boulder,V4,1,20.0,,Todd's Hand Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.823640000000005,-116.63888
431,2.7,Tetrys,Boulder,V1,1,12.0,,Todd's Hand Boulder,,Area 51/Deer Canyon,The Tramway,San Jacinto Mountains,California,33.814640000000004,-116.6519
432,2.7,Tetrys Right,Boulder,V2,1,12.0,,Cockroach Boulder,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.814640000000004,-116.6519
433,2.0,Not a Flowmaster,Boulder,V5+,1,12.0,,Cockroach Boulder,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.814640000000004,-116.6519
434,2.2,Shoe Slab,Boulder,V-easy,1,15.0,,Iceberg 3,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.823640000000005,-116.63888
435,1.0,S.A.P.,Boulder,V1,1,10.0,,Iceberg 3,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.823640000000005,-116.63888
436,2.6,The Persistance of Time (aka The Undone Marc Roth Project),Boulder,V5-6,1,15.0,,Iceberg 3,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81414,-116.65078999999999
437,2.5,Year of the Cat,Boulder,V9-10,1,12.0,,Iceberg 3,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81414,-116.65078999999999
438,-1.0,Unnamed V1,Boulder,V1,1,12.0,,Iceberg 3,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81436,-116.65098
439,3.0,The Matt Hotch Problem,Boulder,V9,1,12.0,,Iceberg 1,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81436,-116.65098
441,2.1,Problem C,Boulder,V2,1,10.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.6505
442,2.3,Problem A,Boulder,V3,1,10.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.6505
443,2.4,Problem B,Boulder,V3,1,10.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.6505
444,2.0,Imperfect Circle,Boulder,V5,1,8.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.6505
445,2.0,Greasefire - Right Variation,Boulder,V5,1,15.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.6505
446,3.2,Greasefire,Boulder,V6,1,15.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.6505
447,3.7,Sunshine Daydream (aka Yo Picasso),Boulder,V4,1,16.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81537,-116.65012
448,3.0,Velvet Fog,Boulder,V3,1,12.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.8151,-116.65088
449,2.5,Marc's Variation,Boulder,V4,1,12.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.8151,-116.65088
450,2.0,Unnamed,Boulder,V4,1,12.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.8151,-116.65088
451,2.0,Holez,Boulder,V0,1,16.0,,Iceberg 2,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81657,-116.65141000000001
455,2.0,The Mobius Direct,Boulder,V5,1,8.0,,Accordian Boulder,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81644,-116.65103
456,2.0,Thin White Duke,Boulder,V2,1,12.0,,White Face Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81642,-116.65141000000001
457,2.0,The Right Hand of Todd,Boulder,V2+,1,10.0,,White Face Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.816309999999994,-116.65066999999999
458,2.0,The Left Hand of Todd,Boulder,V3,1,10.0,,White Face Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.816309999999994,-116.65066999999999
459,3.4,Year of the Cockroach,Boulder,V5+,1,15.0,,Quartz Face Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81416,-116.65263999999999
460,3.5,For the Love of Basic Cable (I <3 Cable),Boulder,V9,1,20.0,,Quartz Face Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81416,-116.65263999999999
461,2.2,Iceberg Arete Direct,Boulder,V1,1,12.0,,Quartz Face Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81446,-116.65321000000002
462,1.5,Go with the Floe,Boulder,V1,1,12.0,,Split Rock,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81446,-116.65321000000002
463,3.0,Iceberg Arete,Boulder,V2,1,20.0,,Grand Traverse,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81446,-116.65321000000002
464,2.7,Buddha Belly,Boulder,V5,1,12.0,,The Destroyer,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81446,-116.65321000000002
465,3.0,Science Fiction,Boulder,V10,1,8.0,,The Destroyer,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81446,-116.65321000000002
466,3.1,Crack-O-Pop,Boulder,V5,1,12.0,,Patina Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.65288000000001
467,2.0,The Undone Greg Loh Project,Boulder,V8,1,15.0,,Patina Boulder,Iceberg West,The Icebergs,The Tramway,San Jacinto Mountains,California,33.81467,-116.65288000000001
468,1.0,Unnamed,Boulder,V0,1,10.0,,Donkey boulder,,The Icebergs,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
469,1.0,Flex,Boulder,V1,1,12.0,,Pancake House,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
470,2.0,Unnamed,Boulder,V2-,1,10.0,,Pancake House,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
471,2.0,Unnamed,Boulder,V2-,1,10.0,,Salamander Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
472,3.0,Unnamed,Boulder,V2,1,10.0,,Salamander Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
473,1.8,Unnamed V4,Boulder,V4,1,12.0,,Pit Boss Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
474,2.0,Dyno Problem,Boulder,V4,1,12.0,,Arabian Battle Trill Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
475,3.0,Clubbing Baby Seals,Boulder,V5,1,10.0,,Medusa Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
476,2.7,Unnamed v6,Boulder,V6,1,10.0,,Medusa Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
477,2.1,Greenpeace (Stand),Boulder,V8,1,10.0,,Cracked Boulder,,The Edge of Nowhere,The Tramway,San Jacinto Mountains,California,33.8145,-116.65299999999999
